Ticket_ID,Customer_ID,Region,Issue_Type,Priority,Status,Created_Date,Resolved_Date,Resolution_Time_Hours,Agent,Customer_Satisfaction
T001,C101,North,Login Issue,High,Closed,2025-01-01,2025-01-01,0.0,Rahul,4
T002,C102,West,Payment Issue,Medium,Closed,2025-01-01,2025-01-02,24.0,Sneha,5
T003,C103,South,Account Locked,High,Closed,2025-01-02,2025-01-02,0.0,Amit,3
T004,C104,East,Login Issue,Low,Closed,2025-01-02,2025-01-03,24.0,Neha,4
T005,C105,North,Refund Issue,High,Closed,2025-01-03,2025-01-03,0.0,Rahul,5
T006,C106,West,Payment Issue,Medium,Closed,2025-01-03,2025-01-04,24.0,Sneha,3
T007,C107,South,Technical Error,High,Closed,2025-01-04,2025-01-04,0.0,Amit,4
T008,C108,East,Login Issue,Low,Closed,2025-01-04,2025-01-05,24.0,Neha,4
T009,C109,North,Refund Issue,Medium,Closed,2025-01-05,2025-01-05,0.0,Rahul,5
T010,C110,West,Technical Error,High,Closed,2025-01-05,2025-01-06,24.0,Sneha,3
T011,C111,South,Login Issue,Low,Closed,2025-01-06,2025-01-06,0.0,Amit,4
T012,C112,East,Payment Issue,Medium,Closed,2025-01-06,2025-01-07,24.0,Neha,5
T013,C113,North,Account Locked,High,Closed,2025-01-07,2025-01-07,0.0,Rahul,4
T014,C114,West,Refund Issue,Medium,Closed,2025-01-07,2025-01-08,24.0,Sneha,4
T015,C115,South,Technical Error,High,Closed,2025-01-08,2025-01-08,0.0,Amit,3
T016,C116,East,Login Issue,Low,Closed,2025-01-08,2025-01-09,24.0,Neha,5
T017,C117,North,Payment Issue,Medium,Closed,2025-01-09,2025-01-09,0.0,Rahul,4
T018,C118,West,Technical Error,High,Closed,2025-01-09,2025-01-10,24.0,Sneha,3
T019,C119,South,Refund Issue,Medium,Closed,2025-01-10,2025-01-10,0.0,Amit,5
T020,C120,East,Account Locked,High,Closed,2025-01-10,2025-01-11,24.0,Neha,4
T021,C121,North,Login Issue,Low,Closed,2025-01-11,2025-01-11,0.0,Rahul,4
T022,C122,West,Payment Issue,Medium,Closed,2025-01-11,2025-01-12,24.0,Sneha,5
T023,C123,South,Technical Error,High,Closed,2025-01-12,2025-01-12,0.0,Amit,4
T024,C124,East,Refund Issue,Medium,Closed,2025-01-12,2025-01-13,24.0,Neha,3
T025,C125,North,Account Locked,High,Closed,2025-01-13,2025-01-13,0.0,Rahul,5
T026,C101,North,Login Issue,High,Closed,2025-01-01,2025-01-01,0.0,Rahul,4
T027,C102,West,Payment Issue,Medium,Closed,2025-01-01,2025-01-02,24.0,Sneha,5
T028,C103,South,Account Locked,High,Closed,2025-01-02,2025-01-02,0.0,Amit,3
T029,C104,East,Login Issue,Low,Closed,2025-01-02,2025-01-03,24.0,Neha,4
T030,C105,North,Refund Issue,High,Closed,2025-01-03,2025-01-03,0.0,Rahul,5
T031,C106,West,Payment Issue,Medium,Closed,2025-01-03,2025-01-04,24.0,Sneha,3
T032,C107,South,Technical Error,High,Closed,2025-01-04,2025-01-04,0.0,Amit,4
T033,C108,East,Login Issue,Low,Closed,2025-01-04,2025-01-05,24.0,Neha,4
T034,C109,North,Refund Issue,Medium,Closed,2025-01-05,2025-01-05,0.0,Rahul,5
T035,C110,West,Technical Error,High,Closed,2025-01-05,2025-01-06,24.0,Sneha,3
T036,C111,South,Login Issue,Low,Closed,2025-01-06,2025-01-06,0.0,Amit,4
T037,C112,East,Payment Issue,Medium,Closed,2025-01-06,2025-01-07,24.0,Neha,5
T038,C113,North,Account Locked,High,Closed,2025-01-07,2025-01-07,0.0,Rahul,4
T039,C114,West,Refund Issue,Medium,Closed,2025-01-07,2025-01-08,24.0,Sneha,4
T040,C115,South,Technical Error,High,Closed,2025-01-08,2025-01-08,0.0,Amit,3
T041,C116,East,Login Issue,Low,Closed,2025-01-08,2025-01-09,24.0,Neha,5
T042,C117,North,Payment Issue,Medium,Closed,2025-01-09,2025-01-09,0.0,Rahul,4
T043,C118,West,Technical Error,High,Closed,2025-01-09,2025-01-10,24.0,Sneha,3
T044,C119,South,Refund Issue,Medium,Closed,2025-01-10,2025-01-10,0.0,Amit,5
T045,C120,East,Account Locked,High,Closed,2025-01-10,2025-01-11,24.0,Neha,4
T046,C121,North,Login Issue,Low,Closed,2025-01-11,2025-01-11,0.0,Rahul,4
T047,C122,West,Payment Issue,Medium,Closed,2025-01-11,2025-01-12,24.0,Sneha,5
T048,C123,South,Technical Error,High,Closed,2025-01-12,2025-01-12,0.0,Amit,4
T049,C124,East,Refund Issue,Medium,Closed,2025-01-12,2025-01-13,24.0,Neha,3
T050,C125,North,Account Locked,High,Closed,2025-01-13,2025-01-13,0.0,Rahul,5
T051,C101,North,Login Issue,High,Closed,2025-01-01,2025-01-01,0.0,Rahul,4
T052,C102,West,Payment Issue,Medium,Closed,2025-01-01,2025-01-02,24.0,Sneha,5
T053,C103,South,Account Locked,High,Closed,2025-01-02,2025-01-02,0.0,Amit,3
T054,C104,East,Login Issue,Low,Closed,2025-01-02,2025-01-03,24.0,Neha,4
T055,C105,North,Refund Issue,High,Closed,2025-01-03,2025-01-03,0.0,Rahul,5
T056,C106,West,Payment Issue,Medium,Closed,2025-01-03,2025-01-04,24.0,Sneha,3
T057,C107,South,Technical Error,High,Closed,2025-01-04,2025-01-04,0.0,Amit,4
T058,C108,East,Login Issue,Low,Closed,2025-01-04,2025-01-05,24.0,Neha,4
T059,C109,North,Refund Issue,Medium,Closed,2025-01-05,2025-01-05,0.0,Rahul,5
T060,C110,West,Technical Error,High,Closed,2025-01-05,2025-01-06,24.0,Sneha,3
T061,C111,South,Login Issue,Low,Closed,2025-01-06,2025-01-06,0.0,Amit,4
T062,C112,East,Payment Issue,Medium,Closed,2025-01-06,2025-01-07,24.0,Neha,5
T063,C113,North,Account Locked,High,Closed,2025-01-07,2025-01-07,0.0,Rahul,4
T064,C114,West,Refund Issue,Medium,Closed,2025-01-07,2025-01-08,24.0,Sneha,4
T065,C115,South,Technical Error,High,Closed,2025-01-08,2025-01-08,0.0,Amit,3
T066,C116,East,Login Issue,Low,Closed,2025-01-08,2025-01-09,24.0,Neha,5
T067,C117,North,Payment Issue,Medium,Closed,2025-01-09,2025-01-09,0.0,Rahul,4
T068,C118,West,Technical Error,High,Closed,2025-01-09,2025-01-10,24.0,Sneha,3
T069,C119,South,Refund Issue,Medium,Closed,2025-01-10,2025-01-10,0.0,Amit,5
T070,C120,East,Account Locked,High,Closed,2025-01-10,2025-01-11,24.0,Neha,4
T071,C121,North,Login Issue,Low,Closed,2025-01-11,2025-01-11,0.0,Rahul,4
T072,C122,West,Payment Issue,Medium,Closed,2025-01-11,2025-01-12,24.0,Sneha,5
T073,C123,South,Technical Error,High,Closed,2025-01-12,2025-01-12,0.0,Amit,4
T074,C124,East,Refund Issue,Medium,Closed,2025-01-12,2025-01-13,24.0,Neha,3
T075,C125,North,Account Locked,High,Closed,2025-01-13,2025-01-13,0.0,Rahul,5
T076,C101,North,Login Issue,High,Closed,2025-01-01,2025-01-01,0.0,Rahul,4
T077,C102,West,Payment Issue,Medium,Closed,2025-01-01,2025-01-02,24.0,Sneha,5
T078,C103,South,Account Locked,High,Closed,2025-01-02,2025-01-02,0.0,Amit,3
T079,C104,East,Login Issue,Low,Closed,2025-01-02,2025-01-03,24.0,Neha,4
T080,C105,North,Refund Issue,High,Closed,2025-01-03,2025-01-03,0.0,Rahul,5
T081,C106,West,Payment Issue,Medium,Closed,2025-01-03,2025-01-04,24.0,Sneha,3
T082,C107,South,Technical Error,High,Closed,2025-01-04,2025-01-04,0.0,Amit,4
T083,C108,East,Login Issue,Low,Closed,2025-01-04,2025-01-05,24.0,Neha,4
T084,C109,North,Refund Issue,Medium,Closed,2025-01-05,2025-01-05,0.0,Rahul,5
T085,C110,West,Technical Error,High,Closed,2025-01-05,2025-01-06,24.0,Sneha,3
T086,C111,South,Login Issue,Low,Closed,2025-01-06,2025-01-06,0.0,Amit,4
T087,C112,East,Payment Issue,Medium,Closed,2025-01-06,2025-01-07,24.0,Neha,5
T088,C113,North,Account Locked,High,Closed,2025-01-07,2025-01-07,0.0,Rahul,4
T089,C114,West,Refund Issue,Medium,Closed,2025-01-07,2025-01-08,24.0,Sneha,4
T090,C115,South,Technical Error,High,Closed,2025-01-08,2025-01-08,0.0,Amit,3
T091,C116,East,Login Issue,Low,Closed,2025-01-08,2025-01-09,24.0,Neha,5
T092,C117,North,Payment Issue,Medium,Closed,2025-01-09,2025-01-09,0.0,Rahul,4
T093,C118,West,Technical Error,High,Closed,2025-01-09,2025-01-10,24.0,Sneha,3
T094,C119,South,Refund Issue,Medium,Closed,2025-01-10,2025-01-10,0.0,Amit,5
T095,C120,East,Account Locked,High,Closed,2025-01-10,2025-01-11,24.0,Neha,4
T096,C121,North,Login Issue,Low,Closed,2025-01-11,2025-01-11,0.0,Rahul,4
T097,C122,West,Payment Issue,Medium,Closed,2025-01-11,2025-01-12,24.0,Sneha,5
T098,C123,South,Technical Error,High,Closed,2025-01-12,2025-01-12,0.0,Amit,4
T099,C124,East,Refund Issue,Medium,Closed,2025-01-12,2025-01-13,24.0,Neha,3
T100,C125,North,Account Locked,High,Closed,2025-01-13,2025-01-13,0.0,Rahul,5
