Ticket_ID,Customer_ID,Region,Issue_Type,Priority,Status,Created_Date,Resolved_Date,Resolution_Time_Hours,Agent,Customer_Satisfaction
T001,C101,North,Login Issue,High,Closed,01-01-2025,01-01-2025,3,Rahul,4
T002,C102,West,Payment Issue,Medium,Closed,01-01-2025,02-01-2025,6,Sneha,5
T003,C103,South,Account Locked,High,Closed,02-01-2025,02-01-2025,4,Amit,3
T004,C104,East,Login Issue,Low,Closed,02-01-2025,03-01-2025,5,Neha,4
T005,C105,North,Refund Issue,High,Closed,03-01-2025,03-01-2025,2,Rahul,5
T006,C106,West,Payment Issue,Medium,Closed,03-01-2025,04-01-2025,7,Sneha,3
T007,C107,South,Technical Error,High,Closed,04-01-2025,04-01-2025,3,Amit,4
T008,C108,East,Login Issue,Low,Closed,04-01-2025,05-01-2025,5,Neha,4
T009,C109,North,Refund Issue,Medium,Closed,05-01-2025,05-01-2025,4,Rahul,5
T010,C110,West,Technical Error,High,Closed,05-01-2025,06-01-2025,8,Sneha,3
T011,C111,South,Login Issue,Low,Closed,06-01-2025,06-01-2025,2,Amit,4
T012,C112,East,Payment Issue,Medium,Closed,06-01-2025,07-01-2025,6,Neha,5
T013,C113,North,Account Locked,High,Closed,07-01-2025,07-01-2025,3,Rahul,4
T014,C114,West,Refund Issue,Medium,Closed,07-01-2025,08-01-2025,5,Sneha,4
T015,C115,South,Technical Error,High,Closed,08-01-2025,08-01-2025,4,Amit,3
T016,C116,East,Login Issue,Low,Closed,08-01-2025,09-01-2025,6,Neha,5
T017,C117,North,Payment Issue,Medium,Closed,09-01-2025,09-01-2025,3,Rahul,4
T018,C118,West,Technical Error,High,Closed,09-01-2025,10-01-2025,7,Sneha,3
T019,C119,South,Refund Issue,Medium,Closed,10-01-2025,10-01-2025,2,Amit,5
T020,C120,East,Account Locked,High,Closed,10-01-2025,11-01-2025,6,Neha,4
T021,C121,North,Login Issue,Low,Closed,11-01-2025,11-01-2025,3,Rahul,4
T022,C122,West,Payment Issue,Medium,Closed,11-01-2025,12-01-2025,6,Sneha,5
T023,C123,South,Technical Error,High,Closed,12-01-2025,12-01-2025,4,Amit,4
T024,C124,East,Refund Issue,Medium,Closed,12-01-2025,13-01-2025,5,Neha,3
T025,C125,North,Account Locked,High,Closed,13-01-2025,13-01-2025,3,Rahul,5
T026,C101,North,Login Issue,High,Closed,01-01-2025,01-01-2025,3,Rahul,4
T027,C102,West,Payment Issue,Medium,Closed,01-01-2025,02-01-2025,6,Sneha,5
T028,C103,South,Account Locked,High,Closed,02-01-2025,02-01-2025,4,Amit,3
T029,C104,East,Login Issue,Low,Closed,02-01-2025,03-01-2025,5,Neha,4
T030,C105,North,Refund Issue,High,Closed,03-01-2025,03-01-2025,2,Rahul,5
T031,C106,West,Payment Issue,Medium,Closed,03-01-2025,04-01-2025,7,Sneha,3
T032,C107,South,Technical Error,High,Closed,04-01-2025,04-01-2025,3,Amit,4
T033,C108,East,Login Issue,Low,Closed,04-01-2025,05-01-2025,5,Neha,4
T034,C109,North,Refund Issue,Medium,Closed,05-01-2025,05-01-2025,4,Rahul,5
T035,C110,West,Technical Error,High,Closed,05-01-2025,06-01-2025,8,Sneha,3
T036,C111,South,Login Issue,Low,Closed,06-01-2025,06-01-2025,2,Amit,4
T037,C112,East,Payment Issue,Medium,Closed,06-01-2025,07-01-2025,6,Neha,5
T038,C113,North,Account Locked,High,Closed,07-01-2025,07-01-2025,3,Rahul,4
T039,C114,West,Refund Issue,Medium,Closed,07-01-2025,08-01-2025,5,Sneha,4
T040,C115,South,Technical Error,High,Closed,08-01-2025,08-01-2025,4,Amit,3
T041,C116,East,Login Issue,Low,Closed,08-01-2025,09-01-2025,6,Neha,5
T042,C117,North,Payment Issue,Medium,Closed,09-01-2025,09-01-2025,3,Rahul,4
T043,C118,West,Technical Error,High,Closed,09-01-2025,10-01-2025,7,Sneha,3
T044,C119,South,Refund Issue,Medium,Closed,10-01-2025,10-01-2025,2,Amit,5
